2022-06-15 10:59:08,143 INFO  CellAmbassador - Removed VEH (id=veh_58) from simulation, t=574.000,000,000 s
2022-06-15 10:59:08,242 INFO  CellAmbassador - Removed VEH (id=veh_60) from simulation, t=579.000,000,000 s
2022-06-15 10:59:08,377 INFO  CellAmbassador - Removed VEH (id=veh_64) from simulation, t=587.000,000,000 s
2022-06-15 10:59:08,477 INFO  CellAmbassador - Removed VEH (id=veh_68) from simulation, t=594.000,000,000 s
2022-06-15 10:59:08,554 INFO  CellAmbassador - Removed VEH (id=veh_70) from simulation, t=600.000,000,000 s
2022-06-15 10:59:08,769 INFO  CellAmbassador - Removed VEH (id=veh_74) from simulation, t=626.000,000,000 s
2022-06-15 10:59:08,869 INFO  CellAmbassador - Removed VEH (id=veh_78) from simulation, t=651.000,000,000 s
2022-06-15 10:59:08,892 INFO  CellAmbassador - Removed VEH (id=veh_80) from simulation, t=657.000,000,000 s
2022-06-15 10:59:08,919 INFO  CellAmbassador - Removed VEH (id=veh_84) from simulation, t=664.000,000,000 s
2022-06-15 10:59:08,946 INFO  CellAmbassador - Removed VEH (id=veh_88) from simulation, t=671.000,000,000 s
2022-06-15 10:59:08,969 INFO  CellAmbassador - Removed VEH (id=veh_90) from simulation, t=677.000,000,000 s
2022-06-15 10:59:09,155 INFO  CellAmbassador - Removed VEH (id=veh_94) from simulation, t=733.000,000,000 s
2022-06-15 10:59:09,212 INFO  CellAmbassador - Removed VEH (id=veh_98) from simulation, t=751.000,000,000 s
2022-06-15 10:59:09,312 INFO  CellAmbassador - Removed VEH (id=veh_100) from simulation, t=790.000,000,000 s
2022-06-15 10:59:09,339 INFO  CellAmbassador - Removed VEH (id=veh_104) from simulation, t=802.000,000,000 s
2022-06-15 10:59:09,368 INFO  CellAmbassador - Removed VEH (id=veh_108) from simulation, t=815.000,000,000 s
2022-06-15 10:59:09,414 INFO  CellAmbassador - Removed VEH (id=veh_110) from simulation, t=836.000,000,000 s
2022-06-15 10:59:09,431 INFO  CellAmbassador - Removed VEH (id=veh_114) from simulation, t=844.000,000,000 s
2022-06-15 10:59:09,450 INFO  CellAmbassador - Removed VEH (id=veh_118) from simulation, t=852.000,000,000 s
2022-06-15 10:59:09,466 INFO  CellAmbassador - Removed VEH (id=veh_120) from simulation, t=858.000,000,000 s
2022-06-15 10:59:09,484 INFO  CellAmbassador - Removed VEH (id=veh_124) from simulation, t=865.000,000,000 s
2022-06-15 10:59:09,546 INFO  CellAmbassador - Removed VEH (id=veh_128) from simulation, t=895.000,000,000 s
2022-06-15 10:59:09,551 INFO  CellAmbassador - Removed VEH (id=veh_130) from simulation, t=898.000,000,000 s
2022-06-15 10:59:09,580 INFO  CellAmbassador - Removed VEH (id=veh_134) from simulation, t=919.000,000,000 s
2022-06-15 10:59:09,583 INFO  CellAmbassador - Removed VEH (id=veh_138) from simulation, t=921.000,000,000 s
2022-06-15 10:59:09,587 INFO  CellAmbassador - Removed VEH (id=veh_140) from simulation, t=924.000,000,000 s
2022-06-15 10:59:09,589 INFO  CellAmbassador - Removed VEH (id=veh_144) from simulation, t=926.000,000,000 s
2022-06-15 10:59:09,593 INFO  CellAmbassador - Removed VEH (id=veh_148) from simulation, t=929.000,000,000 s
2022-06-15 10:59:09,595 INFO  CellAmbassador - Removed VEH (id=veh_150) from simulation, t=931.000,000,000 s
2022-06-15 10:59:09,598 INFO  CellAmbassador - Removed VEH (id=veh_154) from simulation, t=934.000,000,000 s
2022-06-15 10:59:09,602 INFO  CellAmbassador - Removed VEH (id=veh_158) from simulation, t=937.000,000,000 s
2022-06-15 10:59:09,606 INFO  CellAmbassador - Removed VEH (id=veh_160) from simulation, t=940.000,000,000 s
2022-06-15 10:59:09,608 INFO  CellAmbassador - Removed VEH (id=veh_164) from simulation, t=942.000,000,000 s
2022-06-15 10:59:09,610 INFO  CellAmbassador - Removed VEH (id=veh_168) from simulation, t=944.000,000,000 s
2022-06-15 10:59:09,614 INFO  CellAmbassador - Removed VEH (id=veh_170) from simulation, t=947.000,000,000 s
2022-06-15 10:59:09,632 INFO  CellAmbassador - Removed VEH (id=veh_174) from simulation, t=965.000,000,000 s
2022-06-15 10:59:09,636 INFO  CellAmbassador - Removed VEH (id=veh_178) from simulation, t=970.000,000,000 s
2022-06-15 10:59:09,654 INFO  CellAmbassador - Removed VEH (id=veh_180) from simulation, t=993.000,000,000 s
2022-06-15 10:59:09,659 INFO  CellAmbassador - Removed VEH (id=veh_184) from simulation, t=1000.000,000,000 s
2022-06-15 10:59:09,804 INFO  CellAmbassador - FinishSimulation
2022-06-15 10:59:09,804 INFO  ChainManager - [Upstream] Processed messages: 500
2022-06-15 10:59:09,804 INFO  ChainManager - [Geocaster] Processed messages: 500
2022-06-15 10:59:09,804 INFO  ChainManager - [Downstream] Processed messages: 14778
