2022-06-15 10:59:01,807 INFO  SnsAmbassador - Added Vehicle id=veh_119 position=GeoPoint{lat=52.655999,lon=13.569114,alt=0.00} @time=245.000,000,000 s
2022-06-15 10:59:01,858 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_121 @time=248.000,000,000 s
2022-06-15 10:59:01,872 INFO  SnsAmbassador - Added Vehicle id=veh_121 position=GeoPoint{lat=52.656002,lon=13.569115,alt=0.00} @time=249.000,000,000 s
2022-06-15 10:59:01,922 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_123 @time=252.000,000,000 s
2022-06-15 10:59:01,937 INFO  SnsAmbassador - Added Vehicle id=veh_123 position=GeoPoint{lat=52.655994,lon=13.569113,alt=0.00} @time=253.000,000,000 s
2022-06-15 10:59:01,993 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_125 @time=256.000,000,000 s
2022-06-15 10:59:02,008 INFO  SnsAmbassador - Added Vehicle id=veh_125 position=GeoPoint{lat=52.655993,lon=13.569113,alt=0.00} @time=257.000,000,000 s
2022-06-15 10:59:02,062 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_127 @time=260.000,000,000 s
2022-06-15 10:59:02,077 INFO  SnsAmbassador - Added Vehicle id=veh_127 position=GeoPoint{lat=52.656001,lon=13.569115,alt=0.00} @time=261.000,000,000 s
2022-06-15 10:59:02,130 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_129 @time=264.000,000,000 s
2022-06-15 10:59:02,150 INFO  SnsAmbassador - Added Vehicle id=veh_129 position=GeoPoint{lat=52.655995,lon=13.569114,alt=0.00} @time=265.000,000,000 s
2022-06-15 10:59:02,208 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_131 @time=268.000,000,000 s
2022-06-15 10:59:02,224 INFO  SnsAmbassador - Added Vehicle id=veh_131 position=GeoPoint{lat=52.655998,lon=13.569114,alt=0.00} @time=269.000,000,000 s
2022-06-15 10:59:02,278 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_133 @time=272.000,000,000 s
2022-06-15 10:59:02,294 INFO  SnsAmbassador - Added Vehicle id=veh_133 position=GeoPoint{lat=52.655993,lon=13.569113,alt=0.00} @time=273.000,000,000 s
2022-06-15 10:59:02,355 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_135 @time=276.000,000,000 s
2022-06-15 10:59:02,371 INFO  SnsAmbassador - Added Vehicle id=veh_135 position=GeoPoint{lat=52.655998,lon=13.569114,alt=0.00} @time=277.000,000,000 s
2022-06-15 10:59:02,425 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_137 @time=280.000,000,000 s
2022-06-15 10:59:02,441 INFO  SnsAmbassador - Added Vehicle id=veh_137 position=GeoPoint{lat=52.656001,lon=13.569114,alt=0.00} @time=281.000,000,000 s
2022-06-15 10:59:02,498 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_139 @time=284.000,000,000 s
2022-06-15 10:59:02,517 INFO  SnsAmbassador - Added Vehicle id=veh_139 position=GeoPoint{lat=52.656000,lon=13.569114,alt=0.00} @time=285.000,000,000 s
2022-06-15 10:59:02,572 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_141 @time=288.000,000,000 s
2022-06-15 10:59:02,586 INFO  SnsAmbassador - Added Vehicle id=veh_141 position=GeoPoint{lat=52.656000,lon=13.569114,alt=0.00} @time=289.000,000,000 s
2022-06-15 10:59:02,641 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_143 @time=292.000,000,000 s
2022-06-15 10:59:02,656 INFO  SnsAmbassador - Added Vehicle id=veh_143 position=GeoPoint{lat=52.656001,lon=13.569114,alt=0.00} @time=293.000,000,000 s
2022-06-15 10:59:02,714 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_145 @time=296.000,000,000 s
2022-06-15 10:59:02,729 INFO  SnsAmbassador - Added Vehicle id=veh_145 position=GeoPoint{lat=52.656001,lon=13.569114,alt=0.00} @time=297.000,000,000 s
2022-06-15 10:59:02,778 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_147 @time=300.000,000,000 s
2022-06-15 10:59:02,793 INFO  SnsAmbassador - Added Vehicle id=veh_147 position=GeoPoint{lat=52.655999,lon=13.569114,alt=0.00} @time=301.000,000,000 s
2022-06-15 10:59:02,845 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_149 @time=304.000,000,000 s
2022-06-15 10:59:02,857 INFO  SnsAmbassador - Added Vehicle id=veh_149 position=GeoPoint{lat=52.655997,lon=13.569114,alt=0.00} @time=305.000,000,000 s
2022-06-15 10:59:02,901 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_151 @time=308.000,000,000 s
2022-06-15 10:59:02,916 INFO  SnsAmbassador - Added Vehicle id=veh_151 position=GeoPoint{lat=52.656001,lon=13.569114,alt=0.00} @time=309.000,000,000 s
2022-06-15 10:59:02,955 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_153 @time=312.000,000,000 s
2022-06-15 10:59:02,967 INFO  SnsAmbassador - Added Vehicle id=veh_153 position=GeoPoint{lat=52.655998,lon=13.569114,alt=0.00} @time=313.000,000,000 s
2022-06-15 10:59:03,015 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_155 @time=316.000,000,000 s
2022-06-15 10:59:03,024 INFO  SnsAmbassador - Added Vehicle id=veh_155 position=GeoPoint{lat=52.656003,lon=13.569115,alt=0.00} @time=317.000,000,000 s
2022-06-15 10:59:03,057 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_157 @time=320.000,000,000 s
2022-06-15 10:59:03,067 INFO  SnsAmbassador - Added Vehicle id=veh_157 position=GeoPoint{lat=52.655999,lon=13.569114,alt=0.00} @time=321.000,000,000 s
2022-06-15 10:59:03,101 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_159 @time=324.000,000,000 s
2022-06-15 10:59:03,109 INFO  SnsAmbassador - Added Vehicle id=veh_159 position=GeoPoint{lat=52.655998,lon=13.569114,alt=0.00} @time=325.000,000,000 s
2022-06-15 10:59:03,141 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_161 @time=328.000,000,000 s
2022-06-15 10:59:03,147 INFO  SnsAmbassador - Added Vehicle id=veh_161 position=GeoPoint{lat=52.655994,lon=13.569113,alt=0.00} @time=329.000,000,000 s
2022-06-15 10:59:03,169 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_163 @time=332.000,000,000 s
2022-06-15 10:59:03,175 INFO  SnsAmbassador - Added Vehicle id=veh_163 position=GeoPoint{lat=52.656002,lon=13.569115,alt=0.00} @time=333.000,000,000 s
2022-06-15 10:59:03,202 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_165 @time=336.000,000,000 s
2022-06-15 10:59:03,209 INFO  SnsAmbassador - Added Vehicle id=veh_165 position=GeoPoint{lat=52.655996,lon=13.569114,alt=0.00} @time=337.000,000,000 s
2022-06-15 10:59:03,231 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_167 @time=340.000,000,000 s
2022-06-15 10:59:03,238 INFO  SnsAmbassador - Added Vehicle id=veh_167 position=GeoPoint{lat=52.655992,lon=13.569113,alt=0.00} @time=341.000,000,000 s
2022-06-15 10:59:03,265 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_169 @time=344.000,000,000 s
2022-06-15 10:59:03,272 INFO  SnsAmbassador - Added Vehicle id=veh_169 position=GeoPoint{lat=52.656002,lon=13.569115,alt=0.00} @time=345.000,000,000 s
2022-06-15 10:59:03,298 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_171 @time=348.000,000,000 s
2022-06-15 10:59:03,305 INFO  SnsAmbassador - Added Vehicle id=veh_171 position=GeoPoint{lat=52.656000,lon=13.569114,alt=0.00} @time=349.000,000,000 s
2022-06-15 10:59:03,327 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_173 @time=352.000,000,000 s
